ClueCategory,ClueType,Clue,Min,Dense
0,1,s1,76,10
0,2,s2,7,3
0,3,s3,46,5
0,4,s4,37,4
0,5,s5,37,4
0,6,s6,46,5
0,7,s7,7,3
0,8,s8,46,5
0,9,s9,46,5
0,10,s10,7,3
0,11,s11,7,3
0,12,s12,46,5
0,13,s13,7,3
0,14,s14,7,3
0,15,s15,67,6
0,16,s16,7,3
0,17,s17,46,5
0,18,s18,7,3
0,19,s19,37,4
0,20,s20,105,39
0,21,s21,67,6
0,22,s22,97,31
0,23,s23,1,1
0,24,s24,3,2
0,25,s25,7,3
0,26,s26,46,5
0,27,s27,7,3
0,28,s28,74,8
0,29,s29,7,3
0,30,s30,46,5
0,31,s31,37,4
0,32,s32,37,4
0,33,s33,46,5
0,34,s34,7,3
0,35,s35,46,5
0,36,s36,46,5
0,37,s37,7,3
0,38,s38,7,3
0,39,s39,46,5
0,40,s40,7,3
0,41,s41,7,3
0,42,s42,67,6
0,43,s43,7,3
0,44,s44,46,5
0,45,s45,7,3
0,46,s46,37,4
0,47,s47,104,38
0,48,s48,67,6
0,49,s49,95,29
0,50,s50,3,2
0,51,s51,3,2
0,52,s52,7,3
0,53,s53,46,5
0,54,s54,7,3
0,55,s55,75,9
0,56,s56,7,3
0,57,s57,46,5
0,58,s58,37,4
0,59,s59,37,4
0,60,s60,46,5
0,61,s61,7,3
0,62,s62,46,5
0,63,s63,46,5
0,64,s64,7,3
0,65,s65,7,3
0,66,s66,46,5
0,67,s67,7,3
0,68,s68,7,3
0,69,s69,67,6
0,70,s70,7,3
0,71,s71,46,5
0,72,s72,7,3
0,73,s73,37,4
0,74,s74,103,37
0,75,s75,67,6
0,76,s76,101,35
0,77,s77,1,1
0,78,s78,3,2
0,79,s79,7,3
0,80,s80,46,5
0,81,s81,7,3
1,82,7,89,23
1,83,5,96,30
1,84,6,94,28
1,85,9,102,36
1,86,2,86,20
1,87,3,85,19
1,88,9,84,18
1,89,8,78,12
1,90,5,87,21
1,91,7,77,11
1,92,2,98,32
1,93,9,82,16
1,94,8,93,27
1,95,4,80,14
1,96,7,79,13
1,97,9,81,15
1,98,3,91,25
1,99,5,100,34
1,100,7,92,26
1,101,6,88,22
1,102,4,90,24
1,103,1,83,17
1,104,6,99,33
